name_en,name_ko,league,league_en
Luton Town,루턴,premier-league,Premier League / Championship
Lyonnais,리옹,ligue-1,Ligue 1 / Ligue 2
Magdeburg,마그데부르크,bundesliga,Bundesliga / 2. Bundesliga
Mainz 05,마인츠,bundesliga,Bundesliga / 2. Bundesliga
Malaga,말라가,la-liga,La Liga / Segunda
Mallorca,마요르카,la-liga,La Liga / Segunda
Malmo,말뫼,other,Other (UCL opponents)
Manchester City,맨체스터 시티,premier-league,Premier League / Championship
Manchester United,맨체스터 유나이티드,premier-league,Premier League / Championship
Marseille,마르세유,ligue-1,Ligue 1 / Ligue 2
Metz,메스,ligue-1,Ligue 1 / Ligue 2
Middlesbrough,미들즈브러,premier-league,Premier League / Championship
Milan,AC 밀란,serie-a,Serie A / Serie B
Millwall,밀월,premier-league,Premier League / Championship
Mirandes,미란데스,la-liga,La Liga / Segunda
Modena,모데나,serie-a,Serie A / Serie B
Monaco,AS 모나코,ligue-1,Ligue 1 / Ligue 2
Montpellier,몽펠리에,ligue-1,Ligue 1 / Ligue 2
Monza,몬차,serie-a,Serie A / Serie B
Munster,뮌스터,bundesliga,Bundesliga / 2. Bundesliga
Nantes,낭트,ligue-1,Ligue 1 / Ligue 2
Napoli,나폴리,serie-a,Serie A / Serie B
Newcastle United,뉴캐슬,premier-league,Premier League / Championship
Nice,니스,ligue-1,Ligue 1 / Ligue 2
Norwich City,노리치,premier-league,Premier League / Championship
Nottingham Forest,노팅엄 포레스트,premier-league,Premier League / Championship
Nurnberg,뉘른베르크,bundesliga,Bundesliga / 2. Bundesliga
Olympiacos,올림피아코스,other,Other (UCL opponents)
Olympiacos Piraeus,올림피아코스,other,Other (UCL opponents)
Olympique Lyonnais,리옹,ligue-1,Ligue 1 / Ligue 2
Olympique Marseille,마르세유,ligue-1,Ligue 1 / Ligue 2
Osasuna,오사수나,la-liga,La Liga / Segunda
Oxford United,옥스퍼드,premier-league,Premier League / Championship
PAOK,PAOK,other,Other (UCL opponents)
PSV,PSV 에인트호번,other,Other (UCL opponents)
